"Date","sulfate","nitrate","ID"
"2001-01-01",NA,NA,2
"2001-01-02",NA,NA,2
"2001-01-03",NA,NA,2
"2001-01-04",NA,NA,2
"2001-01-05",NA,NA,2
"2001-01-06",NA,NA,2
"2001-01-07",NA,NA,2
"2001-01-08",NA,NA,2
"2001-01-09",NA,NA,2
"2001-01-10",NA,NA,2
"2001-01-11",NA,NA,2
"2001-01-12",NA,NA,2
"2001-01-13",NA,NA,2
"2001-01-14",NA,NA,2
"2001-01-15",NA,NA,2
"2001-01-16",NA,NA,2
"2001-01-17",NA,NA,2
"2001-01-18",NA,NA,2
"2001-01-19",2.3,0.699,2
"2001-01-20",NA,NA,2
"2001-01-21",NA,NA,2
"2001-01-22",NA,NA,2
"2001-01-23",NA,NA,2
"2001-01-24",NA,NA,2
"2001-01-25",2.19,4.97,2
